date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:11:14	65017/65017	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Jun%202020%2012:48:49%20GMT	https://demos.creative-tim.com/paper-kit-2-pro/presentation.html	C:/Users/FARHAN%20SADIQ%20MAHI/Desktop/er/Go/demos.creative-tim.com/paper-kit-2-pro/presentation.html	(from )
20:11:15	2170/2170	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2016%20Aug%202020%2014:10:57%20GMT	https://demos.creative-tim.com/robots.txt		(from )
20:11:15	2446/2446	---M--	200	added ('OK')	image/png	etag:%225ee76e30-98e%22	https://demos.creative-tim.com/paper-kit-2-pro/assets/img//apple-icon.png	C:/Users/FARHAN%20SADIQ%20MAHI/Desktop/er/Go/demos.creative-tim.com/paper-kit-2-pro/assets/img/apple-icon.png	(from https://demos.creative-tim.com/paper-kit-2-pro/presentation.html)
20:11:15	1150/1150	---M--	200	added ('OK')	image/png	etag:%225ee76e30-47e%22	https://demos.creative-tim.com/paper-kit-2-pro/assets/img//favicon.png	C:/Users/FARHAN%20SADIQ%20MAHI/Desktop/er/Go/demos.creative-tim.com/paper-kit-2-pro/assets/img/favicon.png	(from https://demos.creative-tim.com/paper-kit-2-pro/presentation.html)
20:11:17	126166/126166	---M--	200	added ('OK')	image/jpeg	date:Sun,%2016%20Aug%202020%2014:10:59%20GMT	https://raw.githubusercontent.com/creativetimofficial/public-assets/master/paper-kit-2-pro-html/opt_pk2p_thumbnail.jpg	C:/Users/FARHAN%20SADIQ%20MAHI/Desktop/er/Go/raw.githubusercontent.com/creativetimofficial/public-assets/master/paper-kit-2-pro-html/opt_pk2p_thumbnail.jpg	(from https://demos.creative-tim.com/paper-kit-2-pro/presentation.html)
20:11:17	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%221518903977%22	https://maxcdn.bootstrapcdn.com/font-awesome/latest/css/font-awesome.min.css	C:/Users/FARHAN%20SADIQ%20MAHI/Desktop/er/Go/maxcdn.bootstrapcdn.com/font-awesome/latest/css/font-awesome.min.css	(from https://demos.creative-tim.com/paper-kit-2-pro/presentation.html)
20:11:18	160404/160404	---M-Z	200	added ('OK')	text/css	etag:W/%225ee76e30-27294%22	https://demos.creative-tim.com/paper-kit-2-pro/assets/css/bootstrap.min.css	C:/Users/FARHAN%20SADIQ%20MAHI/Desktop/er/Go/demos.creative-tim.com/paper-kit-2-pro/assets/css/bootstrap.min.css	(from https://demos.creative-tim.com/paper-kit-2-pro/presentation.html)
20:11:19	57807/57807	---M-Z	200	added ('OK')	text/css	etag:W/%225ee76e30-e1cf%22	https://demos.creative-tim.com/paper-kit-2-pro/assets/demo/demo.css	C:/Users/FARHAN%20SADIQ%20MAHI/Desktop/er/Go/demos.creative-tim.com/paper-kit-2-pro/assets/demo/demo.css	(from https://demos.creative-tim.com/paper-kit-2-pro/presentation.html)
20:11:19	225674/225674	---M-Z	200	added ('OK')	text/css	etag:W/%225ee76e30-3718a%22	https://demos.creative-tim.com/paper-kit-2-pro/assets/css/paper-kit.min.css?v=2.3.1	C:/Users/FARHAN%20SADIQ%20MAHI/Desktop/er/Go/demos.creative-tim.com/paper-kit-2-pro/assets/css/paper-kit.min7317.css	(from https://demos.creative-tim.com/paper-kit-2-pro/presentation.html)
20:11:19	45958/45958	---MC-	200	added ('OK')	text/javascript	date:Thu,%2004%20Jun%202020%2023:38:14%20GMT	https://www.google-analytics.com/analytics.js	C:/Users/FARHAN%20SADIQ%20MAHI/Desktop/er/Go/www.google-analytics.com/analytics.js	(from https://demos.creative-tim.com/paper-kit-2-pro/presentation.html)
20:11:20	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sun,%2016%20Aug%202020%2014:11:02%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/FARHAN%20SADIQ%20MAHI/Desktop/er/Go/www.googletagmanager.com/gtm.95445.delayed	(from https://demos.creative-tim.com/paper-kit-2-pro/presentation.html)
20:11:20	179457/179457	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Jun%202020%2012:48:49%20GMT	https://demos.creative-tim.com/paper-kit-2-pro/index.html	C:/Users/FARHAN%20SADIQ%20MAHI/Desktop/er/Go/demos.creative-tim.com/paper-kit-2-pro/index.html	(from https://demos.creative-tim.com/paper-kit-2-pro/presentation.html)
20:11:21	47486/47486	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Jun%202020%2012:48:49%20GMT	https://demos.creative-tim.com/paper-kit-2-pro/docs/1.0/getting-started/introduction.html	C:/Users/FARHAN%20SADIQ%20MAHI/Desktop/er/Go/demos.creative-tim.com/paper-kit-2-pro/docs/1.0/getting-started/introduction.html	(from https://demos.creative-tim.com/paper-kit-2-pro/presentation.html)
